nu_cm1,S_cm_per_molec,gamma_air,gamma_self,elower,iso,band_upper,band_lower,branch_J
1260.8159,1.689e-27,0.0868,0.109,1751.5221,4,1310,0310,Q 7e
1260.8191,2.005e-27,0.088,0.11,1745.9785,4,1310,0310,Q 6e
1260.8219,2.431e-27,0.0892,0.111,1741.2268,4,1310,0310,Q 5e
1260.8238,1.049e-26,0.0962,0.119,1730.1417,4,1310,0310,Q 1f
1260.8242,3.041e-27,0.0906,0.112,1737.267,4,1310,0310,Q 4e
1260.8261,4.003e-27,0.0922,0.114,1734.0991,4,1310,0310,Q 3e
1260.8273,5.784e-27,0.0941,0.116,1731.7233,4,1310,0310,Q 2e
1260.8284,1.049e-26,0.0962,0.119,1730.1392,4,1310,0310,Q 1e
1260.8325,3.126e-27,0.0704,0.086,2784.7892,2,1420,0420,P 34f
1260.8333,1.824e-28,0.0749,0.095,3107.389,4,1550,0550,P 21f
1260.8334,1.824e-28,0.0749,0.095,3107.389,4,1550,0550,P 21e
1260.8425,1.095e-26,0.0833,0.106,3418.9824,1,1221,0221,P 10e
1260.8428,1.095e-26,0.0833,0.106,3418.9817,1,1221,0221,P 10f
1260.8517,2.359e-23,0.0725,0.09,892.1779,2,1110,0110,P 27e
1260.8519,1.174e-24,0.0725,0.09,1477.6725,3,1220,0220,P 27e
1260.8608,1.174e-24,0.0725,0.09,1477.6449,3,1220,0220,P 27f
1260.8669,2.350e-23,0.0725,0.09,892.7896,2,1110,0110,P 27f
1260.8676,4.522e-28,0.0962,0.119,2294.8109,4,1400,0400,P 1e
1260.8699,5.042e-24,0.0689,0.082,2439.0478,1,1310,0310,P 40f
1260.8751,4.095e-26,0.0707,0.086,2212.457,3,1330,0330,P 33f
1260.8757,4.095e-26,0.0707,0.086,2212.4554,3,1330,0330,P 33e
1260.8783,7.171e-27,0.0791,0.102,2524.4678,3,2200,1200,P 14e
1260.8785,1.251e-27,0.0694,0.083,1756.2289,4,1220,0220,Q 38e
1260.8792,1.560e-28,0.0699,0.084,3416.1105,2,1530,0530,P 36f
1260.8796,2.690e-28,0.0745,0.094,1363.5428,2,1200,0220,P 22e
1260.8905,1.561e-28,0.0699,0.084,3416.0688,2,1530,0530,P 36e
1260.8913,1.398e-28,0.0707,0.086,3265.4341,1,1111,0111,Q 33f
1260.8960,1.052e-27,0.0692,0.083,1787.0633,4,1220,0220,Q 39f
1260.9045,1.027e-24,0.0712,0.088,1567.6091,2,1220,0220,P 31e
1260.9183,1.028e-24,0.0712,0.088,1567.527,2,1220,0220,P 31f
1260.9242,3.791e-27,0.0833,0.106,3881.9267,1,4000,3000,P 10e
1260.9251,2.289e-24,0.0799,0.103,1356.2655,2,2000,1000,P 13e
1260.9252,4.695e-27,0.0783,0.101,2494.3655,4,2200,1200,R 14e
1260.9323,2.179e-24,0.0679,0.079,2637.0044,1,1330,0330,P 45f
1260.9335,1.051e-28,0.0906,0.112,2869.5546,4,0710,0510,P 4f
1260.9374,2.179e-24,0.0679,0.079,2636.9894,1,1330,0330,P 45e
